
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"bmt165920950.1"   ,    0.00000,  8.11303E+0003,  7.96743E+0003
"bmt165920950.2"   ,    0.00000,  8.05583E+0003,  7.96743E+0003
"bmt165920950.3"   ,    0.00000,  8.06816E+0003,  7.96743E+0003
"bmt165920951.1"   ,    0.00000,  8.11300E+0003,  7.96743E+0003
"bmt165920951.2"   ,    0.00000,  8.05581E+0003,  7.96743E+0003
"bmt165920951.3"   ,    0.00000,  8.06814E+0003,  7.96743E+0003
"bmt8758516b.1"    ,    0.00000,  8.11300E+0003,  7.96743E+0003
"bmt8758516b.2"    ,    0.00000,  8.05581E+0003,  7.96743E+0003
"bmt8758516b.3"    ,    0.00000,  8.06814E+0003,  7.96743E+0003
"bmt8758517b.1"    ,    0.00000,  8.11300E+0003,  7.96743E+0003
"bmt8758517b.2"    ,    0.00000,  8.05581E+0003,  7.96743E+0003
"bmt8758517b.3"    ,    0.00000,  8.06814E+0003,  7.96743E+0003
"bmt165920954.1"   ,    0.00000,  8.11300E+0003,  7.96743E+0003
"bmt165920954.2"   ,    0.00000,  8.05581E+0003,  7.96743E+0003
"bmt165920954.3"   ,    0.00000,  8.06814E+0003,  7.96743E+0003
"bmt8758553b.1"    ,    0.00000,  8.11299E+0003,  7.96743E+0003
"bmt8758553b.2"    ,    0.00000,  8.05581E+0003,  7.96743E+0003
"bmt8758553b.3"    ,    0.00000,  8.06813E+0003,  7.96743E+0003
"bmt165920955.1"   ,    0.00000,  8.11297E+0003,  7.96743E+0003
"bmt165920955.2"   ,    0.00000,  8.05579E+0003,  7.96743E+0003
"bmt165920955.3"   ,    0.00000,  8.06811E+0003,  7.96743E+0003
"bmt8758557b.1"    ,    0.00000,  8.11297E+0003,  7.96743E+0003
"bmt8758557b.2"    ,    0.00000,  8.05578E+0003,  7.96743E+0003
"bmt8758557b.3"    ,    0.00000,  8.06811E+0003,  7.96743E+0003
"bmt8758556b.1"    ,    0.00000,  8.11296E+0003,  7.96743E+0003
"bmt8758556b.2"    ,    0.00000,  8.05578E+0003,  7.96743E+0003
"bmt8758556b.3"    ,    0.00000,  8.06810E+0003,  7.96743E+0003
"bmt8758508b.1"    ,    0.00000,  8.11298E+0003,  7.96743E+0003
"bmt8758508b.2"    ,    0.00000,  8.05580E+0003,  7.96743E+0003
"bmt8758508b.3"    ,    0.00000,  8.06813E+0003,  7.96743E+0003
"bmt8758511b.1"    ,    0.00000,  8.11291E+0003,  7.96743E+0003
"bmt8758511b.2"    ,    0.00000,  8.05575E+0003,  7.96743E+0003
"bmt8758511b.3"    ,    0.00000,  8.06807E+0003,  7.96743E+0003
"bmt165920952.1"   ,    0.00000,  8.11284E+0003,  7.96743E+0003
"bmt165920952.2"   ,    0.00000,  8.05570E+0003,  7.96743E+0003
"bmt165920952.3"   ,    0.00000,  8.06802E+0003,  7.96743E+0003
"bmt8758543b.1"    ,    0.00000,  8.11279E+0003,  7.96743E+0003
"bmt8758543b.2"    ,    0.00000,  8.05566E+0003,  7.96743E+0003
"bmt8758543b.3"    ,    0.00000,  8.06798E+0003,  7.96743E+0003
"bmt8758544b.1"    ,    0.00000,  8.11276E+0003,  7.96743E+0003
"bmt8758544b.2"    ,    0.00000,  8.05563E+0003,  7.96743E+0003
"bmt8758544b.3"    ,    0.00000,  8.06795E+0003,  7.96743E+0003
"bmt8758546b.1"    ,    0.00000,  8.11273E+0003,  7.96743E+0003
"bmt8758546b.2"    ,    0.00000,  8.05560E+0003,  7.96743E+0003
"bmt8758546b.3"    ,    0.00000,  8.06791E+0003,  7.96743E+0003
"bmt8758547b.1"    ,    0.00000,  8.11269E+0003,  7.96743E+0003
"bmt8758547b.2"    ,    0.00000,  8.05557E+0003,  7.96743E+0003
"bmt8758547b.3"    ,    0.00000,  8.06788E+0003,  7.96743E+0003
"bmt8758538b.1"    ,    0.00000,  8.11265E+0003,  7.96743E+0003
"bmt8758538b.2"    ,    0.00000,  8.05554E+0003,  7.96743E+0003
"bmt8758538b.3"    ,    0.00000,  8.06785E+0003,  7.96743E+0003
"bmt8758577b.1"    ,    0.00000,  8.11263E+0003,  7.96743E+0003
"bmt8758577b.2"    ,    0.00000,  8.05551E+0003,  7.96743E+0003
"bmt8758577b.3"    ,    0.00000,  8.06782E+0003,  7.96743E+0003
"bmt2957311b.1"    ,    0.00000,  8.22283E+0003,  7.96743E+0003
"bmt2957311b.2"    ,    0.00000,  8.17665E+0003,  7.96743E+0003
