
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"bmt6211361b.1"    ,    0.00000,  8.18733E+0003,  7.96743E+0003
"bmt6211361b.2"    ,    0.00000,  8.18619E+0003,  7.96743E+0003
"bmt6211361b.3"    ,    0.00000,  8.18766E+0003,  7.96743E+0003
"bmt6211375b.1"    ,    0.00000,  8.18614E+0003,  7.96743E+0003
"bmt6211375b.2"    ,    0.00000,  8.18499E+0003,  7.96743E+0003
"bmt6211375b.3"    ,    0.00000,  8.18647E+0003,  7.96743E+0003
"bmt6211382b.1"    ,    0.00000,  8.18438E+0003,  7.96743E+0003
"bmt6211382b.2"    ,    0.00000,  8.18324E+0003,  7.96743E+0003
"bmt6211382b.3"    ,    0.00000,  8.18472E+0003,  7.96743E+0003
"bmt6211389b.1"    ,    0.00000,  8.18297E+0003,  7.96743E+0003
"bmt6211389b.2"    ,    0.00000,  8.18182E+0003,  7.96743E+0003
"bmt6211389b.3"    ,    0.00000,  8.18330E+0003,  7.96743E+0003
"bmt739348b.1"     ,    0.00000,  8.18186E+0003,  7.96743E+0003
"bmt739348b.2"     ,    0.00000,  8.18072E+0003,  7.96743E+0003
"bmt739348b.3"     ,    0.00000,  8.18220E+0003,  7.96743E+0003
"bmt6213979b.1"    ,    0.00000,  8.13025E+0003,  7.96743E+0003
"bmt6213979b.2"    ,    0.00000,  8.12909E+0003,  7.96743E+0003
"bmt6213979b.3"    ,    0.00000,  8.13060E+0003,  7.96743E+0003
"bmt99457003.1"    ,    0.00000,  8.12922E+0003,  7.96743E+0003
"bmt99457003.2"    ,    0.00000,  8.12806E+0003,  7.96743E+0003
"bmt99457003.3"    ,    0.00000,  8.12957E+0003,  7.96743E+0003
"bmt6213979c.1"    ,    0.00000,  8.25739E+0003,  7.96743E+0003
"bmt6213979c.2"    ,    0.00000,  8.24981E+0003,  7.96743E+0003
"bmt6213979c.3"    ,    0.00000,  8.24384E+0003,  7.96743E+0003
"bmt745592b.1"     ,    0.00000,  8.25743E+0003,  7.96743E+0003
"bmt745592b.2"     ,    0.00000,  8.24985E+0003,  7.96743E+0003
"bmt745592b.3"     ,    0.00000,  8.24391E+0003,  7.96743E+0003
"bmt99457010.1"    ,    0.00000,  8.12906E+0003,  7.96743E+0003
"bmt99457010.2"    ,    0.00000,  8.12790E+0003,  7.96743E+0003
"bmt99457010.3"    ,    0.00000,  8.12942E+0003,  7.96743E+0003
"bmt6214161b.1"    ,    0.00000,  8.11714E+0003,  7.96743E+0003
"bmt6214161b.2"    ,    0.00000,  8.11597E+0003,  7.96743E+0003
"bmt6214161b.3"    ,    0.00000,  8.11749E+0003,  7.96743E+0003
"bmt6214322b.1"    ,    0.00000,  8.10999E+0003,  7.96743E+0003
"bmt6214322b.2"    ,    0.00000,  8.10883E+0003,  7.96743E+0003
"bmt6214322b.3"    ,    0.00000,  8.11035E+0003,  7.96743E+0003
"bmt6214399b.1"    ,    0.00000,  8.10210E+0003,  7.96743E+0003
"bmt6214399b.2"    ,    0.00000,  8.10093E+0003,  7.96743E+0003
"bmt6214399b.3"    ,    0.00000,  8.10246E+0003,  7.96743E+0003
"bmt6214441b.1"    ,    0.00000,  8.08722E+0003,  7.96743E+0003
"bmt6214441b.2"    ,    0.00000,  8.08605E+0003,  7.96743E+0003
"bmt6214441b.3"    ,    0.00000,  8.08759E+0003,  7.96743E+0003
"bmt6214476b.1"    ,    0.00000,  8.08396E+0003,  7.96743E+0003
"bmt6214476b.2"    ,    0.00000,  8.08279E+0003,  7.96743E+0003
"bmt6214476b.3"    ,    0.00000,  8.08432E+0003,  7.96743E+0003
"bmt6214525b.1"    ,    0.00000,  8.06686E+0003,  7.96743E+0003
"bmt6214525b.2"    ,    0.00000,  8.06568E+0003,  7.96743E+0003
"bmt6214525b.3"    ,    0.00000,  8.06723E+0003,  7.96743E+0003
"bmt6214567b.1"    ,    0.00000,  8.06335E+0003,  7.96743E+0003
"bmt6214567b.2"    ,    0.00000,  8.06216E+0003,  7.96743E+0003
"bmt6214567b.3"    ,    0.00000,  8.06371E+0003,  7.96743E+0003
"bmt6214574b.1"    ,    0.00000,  8.06012E+0003,  7.96743E+0003
"bmt6214574b.2"    ,    0.00000,  8.05893E+0003,  7.96743E+0003
"bmt6214574b.3"    ,    0.00000,  8.06049E+0003,  7.96743E+0003
"bmt6214581b.1"    ,    0.00000,  8.05411E+0003,  7.96743E+0003
"bmt6214581b.2"    ,    0.00000,  8.05292E+0003,  7.96743E+0003
"bmt6214581b.3"    ,    0.00000,  8.05448E+0003,  7.96743E+0003
"bmt6214616b.1"    ,    0.00000,  8.04844E+0003,  7.96743E+0003
"bmt6214616b.2"    ,    0.00000,  8.04725E+0003,  7.96743E+0003
"bmt6214616b.3"    ,    0.00000,  8.04881E+0003,  7.96743E+0003
"bmt6214637b.1"    ,    0.00000,  8.03458E+0003,  7.96743E+0003
"bmt6214637b.2"    ,    0.00000,  8.03339E+0003,  7.96743E+0003
"bmt6214637b.3"    ,    0.00000,  8.03495E+0003,  7.96743E+0003
"bmt6214658b.1"    ,    0.00000,  8.03055E+0003,  7.96743E+0003
"bmt6214658b.2"    ,    0.00000,  8.02936E+0003,  7.96743E+0003
"bmt6214658b.3"    ,    0.00000,  8.03093E+0003,  7.96743E+0003
"bmt6214679b.1"    ,    0.00000,  8.01778E+0003,  7.96743E+0003
"bmt6214679b.2"    ,    0.00000,  8.01659E+0003,  7.96743E+0003
"bmt6214679b.3"    ,    0.00000,  8.01816E+0003,  7.96743E+0003
"bmt6214707b.1"    ,    0.00000,  8.01461E+0003,  7.96743E+0003
"bmt6214707b.2"    ,    0.00000,  8.01341E+0003,  7.96743E+0003
"bmt6214707b.3"    ,    0.00000,  8.01499E+0003,  7.96743E+0003
"bmt6214728b.1"    ,    0.00000,  8.01054E+0003,  7.96743E+0003
"bmt6214728b.2"    ,    0.00000,  8.00935E+0003,  7.96743E+0003
"bmt6214728b.3"    ,    0.00000,  8.01093E+0003,  7.96743E+0003
"bmt6214770b.1"    ,    0.00000,  8.00758E+0003,  7.96743E+0003
"bmt6214770b.2"    ,    0.00000,  8.00638E+0003,  7.96743E+0003
"bmt6214770b.3"    ,    0.00000,  8.00797E+0003,  7.96743E+0003
"bmt99457017.1"    ,    0.00000,  7.99237E+0003,  7.96743E+0003
"bmt99457017.2"    ,    0.00000,  7.99117E+0003,  7.96743E+0003
"bmt99457017.3"    ,    0.00000,  7.99276E+0003,  7.96743E+0003
"bmt161048165.1"   ,    0.00000,  8.24591E+0003,  7.96743E+0003
"bmt161048165.2"   ,    0.00000,  8.23653E+0003,  7.96743E+0003
"bmt161048165.3"   ,    0.00000,  8.22883E+0003,  7.96743E+0003
"bmt6215148b.1"    ,    0.00000,  8.24558E+0003,  7.96743E+0003
"bmt6215148b.2"    ,    0.00000,  8.23620E+0003,  7.96743E+0003
"bmt6215148b.3"    ,    0.00000,  8.22849E+0003,  7.96743E+0003
"bmt6215162b.1"    ,    0.00000,  8.24519E+0003,  7.96743E+0003
"bmt6215162b.2"    ,    0.00000,  8.23581E+0003,  7.96743E+0003
"bmt6215162b.3"    ,    0.00000,  8.22810E+0003,  7.96743E+0003
"bmt161048166.1"   ,    0.00000,  8.24450E+0003,  7.96743E+0003
"bmt161048166.2"   ,    0.00000,  8.23512E+0003,  7.96743E+0003
