
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus            Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

bmt125125886      8.185      1.027          0          0         0         0
bmt163923431      8.185      1.027          0          0         0         0
bmt125126642      8.185      1.027          0          0         0         0
bmt125126649      8.185      1.027          0          0         0         0
bmt163923432      8.184      1.027          0          0         0         0
bmt125126656      8.185      1.027          0          0         0         0
bmt125126663      8.185      1.027          0          0         0         0
bmt159797156      8.178      1.026          0          0         0         0
bmt159797157      8.178      1.026          0          0         0         0
bmt2608107b       8.177      1.026          0          0         0         0
bmt125126530      8.168      1.025          0          0         0         0
bmt125126537      8.168      1.025          0          0         0         0
bmt125125970      8.168      1.025          0          0         0         0
bmt2605874b       8.168      1.025          0          0         0         0
bmt8707292b       8.187      1.028          0          0         0         0
bmt160818317      8.187      1.028          0          0         0         0
bmt161513891       8.29      1.041    0.01979     0.2387   0.03529    0.4257
bmt8708822b        8.29      1.041    0.01979     0.2387   0.03529    0.4257
bmt8708824b        8.29      1.041    0.01979     0.2387   0.03529    0.4257
bmt8708825b        8.29       1.04    0.01979     0.2387   0.03529    0.4257
bmt148388155       8.29       1.04    0.01979     0.2387   0.03529    0.4257
bmt161513867       8.29       1.04    0.01979     0.2387   0.03529    0.4257
bmt161513868       8.29       1.04    0.01979     0.2387   0.03529    0.4257
bmt170301167      8.098      1.016          0          0         0         0
bmt2589592b       8.097      1.016          0          0         0         0
bmt2589599b       8.098      1.016          0          0         0         0
bmt170301168      8.097      1.016          0          0         0         0
bmt170301170      8.097      1.016          0          0         0         0
bmt2588955b       8.097      1.016          0          0         0         0
bmt2589522b       8.097      1.016          0          0         0         0
bmt170301171      8.097      1.016          0          0         0         0
bmt2588920b       8.097      1.016          0          0         0         0
bmt2588934b       8.097      1.016          0          0         0         0
bmt1600275b       8.097      1.016          0          0         0         0
bmt170301172      8.097      1.016          0          0         0         0
bmt1600282b       8.082      1.014      0.063     0.7795    0.0474    0.5865
bmt2595192b       8.081      1.014    0.06318     0.7818   0.04746    0.5873
bmt125123478      8.126       1.02          0          0         0         0
